sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
no_sampling,var_threshold,no_norm,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,no_norm,pca,k_neighbours,0.599085684430512,0.599085684430512,0.599085684430512,Pass
no_sampling,var_threshold,no_norm,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,min_max_norm,no_dim_reduction,k_neighbours,0.599085684430512,0.599085684430512,0.599085684430512,Pass
no_sampling,var_threshold,min_max_norm,pca,k_neighbours,0.599085684430512,0.599085684430512,0.599085684430512,Pass
no_sampling,var_threshold,min_max_norm,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,robust_scaler,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,robust_scaler,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,robust_scaler,umap,k_neighbours,0.599085684430512,0.599085684430512,0.599085684430512,Pass
no_sampling,var_threshold,standard_scaler,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,standard_scaler,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,standard_scaler,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,log2_transform,no_dim_reduction,k_neighbours,0.5979493207941484,0.5979493207941484,0.5979493207941484,Pass
no_sampling,var_threshold,log2_transform,pca,k_neighbours,0.5979493207941484,0.5979493207941484,0.5979493207941484,Pass
no_sampling,var_threshold,log2_transform,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,no_norm,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,no_norm,pca,k_neighbours,0.5990987460815047,0.5990987460815047,0.5990987460815047,Pass
no_sampling,select_univariate,no_norm,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,min_max_norm,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,min_max_norm,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,min_max_norm,umap,k_neighbours,0.599085684430512,0.599085684430512,0.599085684430512,Pass
no_sampling,select_univariate,robust_scaler,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,robust_scaler,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,robust_scaler,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,standard_scaler,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,standard_scaler,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,standard_scaler,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,log2_transform,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,log2_transform,pca,k_neighbours,0.5990726227795193,0.5990726227795193,0.5990726227795193,Pass
no_sampling,select_univariate,log2_transform,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,no_norm,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,no_norm,pca,k_neighbours,0.599085684430512,0.599085684430512,0.599085684430512,Pass
no_sampling,select_l1,no_norm,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,min_max_norm,no_dim_reduction,k_neighbours,0.599085684430512,0.599085684430512,0.599085684430512,Pass
no_sampling,select_l1,min_max_norm,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,min_max_norm,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,robust_scaler,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,robust_scaler,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,robust_scaler,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,standard_scaler,no_dim_reduction,k_neighbours,0.5990987460815048,0.5990987460815048,0.5990987460815048,Pass
no_sampling,select_l1,standard_scaler,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,standard_scaler,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,log2_transform,no_dim_reduction,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,log2_transform,pca,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,log2_transform,umap,k_neighbours,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
oversampling,var_threshold,no_norm,no_dim_reduction,k_neighbours,0.694198105503838,0.694198105503838,0.694198105503838,Pass
oversampling,var_threshold,no_norm,pca,k_neighbours,0.6865221296749959,0.6865221296749959,0.6865221296749959,Pass
oversampling,var_threshold,no_norm,umap,k_neighbours,0.604826065654091,0.604826065654091,0.604826065654091,Pass
oversampling,var_threshold,min_max_norm,no_dim_reduction,k_neighbours,0.6545688388045077,0.6545688388045077,0.6545688388045077,Pass
oversampling,var_threshold,min_max_norm,pca,k_neighbours,0.7357014535358484,0.7357014535358484,0.7357014535358485,Pass
oversampling,var_threshold,min_max_norm,umap,k_neighbours,0.6124326310632042,0.6124326310632042,0.6124326310632042,Pass
oversampling,var_threshold,robust_scaler,no_dim_reduction,k_neighbours,0.6647925853339867,0.6647925853339867,0.6647925853339867,Pass
oversampling,var_threshold,robust_scaler,pca,k_neighbours,0.4131634819532909,0.4131634819532909,0.4131634819532909,Pass
oversampling,var_threshold,robust_scaler,umap,k_neighbours,0.5760452392617997,0.5760452392617997,0.5760452392617997,Pass
oversampling,var_threshold,standard_scaler,no_dim_reduction,k_neighbours,0.6507471827535521,0.6507471827535521,0.6507471827535521,Pass
oversampling,var_threshold,standard_scaler,pca,k_neighbours,0.7382737220316837,0.7382737220316837,0.7382737220316838,Pass
oversampling,var_threshold,standard_scaler,umap,k_neighbours,0.6194675812510207,0.6194675812510207,0.6194675812510207,Pass
oversampling,var_threshold,log2_transform,no_dim_reduction,k_neighbours,0.6820431161195493,0.6820431161195493,0.6820431161195493,Pass
oversampling,var_threshold,log2_transform,pca,k_neighbours,0.7951004409603136,0.7951004409603136,0.7951004409603136,Pass
oversampling,var_threshold,log2_transform,umap,k_neighbours,0.6239180140454026,0.6239180140454026,0.6239180140454026,Pass
oversampling,select_univariate,no_norm,no_dim_reduction,k_neighbours,0.5849869345092276,0.5849869345092276,0.5849869345092276,Pass
oversampling,select_univariate,no_norm,pca,k_neighbours,0.45211905928466445,0.45211905928466445,0.45211905928466445,Pass
oversampling,select_univariate,no_norm,umap,k_neighbours,0.5242609831781806,0.5242609831781806,0.5242609831781806,Pass
oversampling,select_univariate,min_max_norm,no_dim_reduction,k_neighbours,0.5945574065000816,0.5945574065000816,0.5945574065000816,Pass
oversampling,select_univariate,min_max_norm,pca,k_neighbours,0.4891964723174914,0.4891964723174914,0.4891964723174914,Pass
oversampling,select_univariate,min_max_norm,umap,k_neighbours,0.5517883390494854,0.5517883390494854,0.5517883390494854,Pass
oversampling,select_univariate,robust_scaler,no_dim_reduction,k_neighbours,0.595227012902172,0.595227012902172,0.595227012902172,Pass
oversampling,select_univariate,robust_scaler,pca,k_neighbours,0.41444961620120857,0.41444961620120857,0.41444961620120857,Pass
oversampling,select_univariate,robust_scaler,umap,k_neighbours,0.5147395067777233,0.5147395067777233,0.5147395067777233,Pass
oversampling,select_univariate,standard_scaler,no_dim_reduction,k_neighbours,0.6111546627470195,0.6111546627470195,0.6111546627470195,Pass
oversampling,select_univariate,standard_scaler,pca,k_neighbours,0.5281398007512658,0.5281398007512658,0.5281398007512658,Pass
oversampling,select_univariate,standard_scaler,umap,k_neighbours,0.5300342969132779,0.5300342969132779,0.5300342969132779,Pass
oversampling,select_univariate,log2_transform,no_dim_reduction,k_neighbours,0.6565776580107789,0.6565776580107789,0.6565776580107789,Pass
oversampling,select_univariate,log2_transform,pca,k_neighbours,0.5901314715008983,0.5901314715008983,0.5901314715008983,Pass
oversampling,select_univariate,log2_transform,umap,k_neighbours,0.5543891883063857,0.5543891883063857,0.5543891883063857,Pass
oversampling,select_l1,no_norm,no_dim_reduction,k_neighbours,0.7018659154009472,0.7018659154009472,0.7018659154009472,Pass
oversampling,select_l1,no_norm,pca,k_neighbours,0.680136371059938,0.680136371059938,0.680136371059938,Pass
oversampling,select_l1,no_norm,umap,k_neighbours,0.6157071696880614,0.6157071696880614,0.6157071696880614,Pass
oversampling,select_l1,min_max_norm,no_dim_reduction,k_neighbours,0.6705658990690837,0.6705658990690837,0.6705658990690837,Pass
oversampling,select_l1,min_max_norm,pca,k_neighbours,0.6948268822472644,0.6948268822472644,0.6948268822472644,Pass
oversampling,select_l1,min_max_norm,umap,k_neighbours,0.6277478360280908,0.6277478360280908,0.6277478360280908,Pass
oversampling,select_l1,robust_scaler,no_dim_reduction,k_neighbours,0.6610117589416953,0.6610117589416953,0.6610117589416953,Pass
oversampling,select_l1,robust_scaler,pca,k_neighbours,0.5320022864608851,0.5320022864608851,0.5320022864608851,Pass
oversampling,select_l1,robust_scaler,umap,k_neighbours,0.580560999510044,0.580560999510044,0.580560999510044,Pass
oversampling,select_l1,standard_scaler,no_dim_reduction,k_neighbours,0.6680058794708477,0.6680058794708477,0.6680058794708477,Pass
oversampling,select_l1,standard_scaler,pca,k_neighbours,0.7063326800587948,0.7063326800587948,0.7063326800587948,Pass
oversampling,select_l1,standard_scaler,umap,k_neighbours,0.6226441286950842,0.6226441286950842,0.6226441286950842,Pass
oversampling,select_l1,log2_transform,no_dim_reduction,k_neighbours,0.722946268169198,0.722946268169198,0.722946268169198,Pass
oversampling,select_l1,log2_transform,pca,k_neighbours,0.7555446676465785,0.7555446676465785,0.7555446676465783,Pass
oversampling,select_l1,log2_transform,umap,k_neighbours,0.652094561489466,0.652094561489466,0.652094561489466,Pass
undersampling,var_threshold,no_norm,no_dim_reduction,k_neighbours,0.4286938775510204,0.4286938775510204,0.42869387755102034,Pass
undersampling,var_threshold,no_norm,pca,k_neighbours,0.4248163265306123,0.4248163265306123,0.42481632653061235,Pass
undersampling,var_threshold,no_norm,umap,k_neighbours,0.4268571428571429,0.4268571428571429,0.4268571428571429,Pass
undersampling,var_threshold,min_max_norm,no_dim_reduction,k_neighbours,0.43285714285714283,0.43285714285714283,0.43285714285714283,Pass
undersampling,var_threshold,min_max_norm,pca,k_neighbours,0.4368163265306122,0.4368163265306122,0.43681632653061225,Pass
undersampling,var_threshold,min_max_norm,umap,k_neighbours,0.42473469387755103,0.42473469387755103,0.42473469387755103,Pass
undersampling,var_threshold,robust_scaler,no_dim_reduction,k_neighbours,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,var_threshold,robust_scaler,pca,k_neighbours,0.4310204081632653,0.4310204081632653,0.4310204081632653,Pass
undersampling,var_threshold,robust_scaler,umap,k_neighbours,0.4488979591836735,0.4488979591836735,0.4488979591836735,Pass
undersampling,var_threshold,standard_scaler,no_dim_reduction,k_neighbours,0.43910204081632653,0.43910204081632653,0.4391020408163265,Pass
undersampling,var_threshold,standard_scaler,pca,k_neighbours,0.4328163265306122,0.4328163265306122,0.43281632653061225,Pass
undersampling,var_threshold,standard_scaler,umap,k_neighbours,0.4228979591836734,0.4228979591836734,0.4228979591836734,Pass
undersampling,var_threshold,log2_transform,no_dim_reduction,k_neighbours,0.43289795918367346,0.43289795918367346,0.43289795918367346,Pass
undersampling,var_threshold,log2_transform,pca,k_neighbours,0.45522448979591834,0.45522448979591834,0.45522448979591834,Pass
undersampling,var_threshold,log2_transform,umap,k_neighbours,0.4328163265306122,0.4328163265306122,0.43281632653061225,Pass
undersampling,select_univariate,no_norm,no_dim_reduction,k_neighbours,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_univariate,no_norm,pca,k_neighbours,0.4185714285714286,0.4185714285714286,0.41857142857142854,Pass
undersampling,select_univariate,no_norm,umap,k_neighbours,0.42473469387755103,0.42473469387755103,0.42473469387755103,Pass
undersampling,select_univariate,min_max_norm,no_dim_reduction,k_neighbours,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_univariate,min_max_norm,pca,k_neighbours,0.42889795918367346,0.42889795918367346,0.4288979591836735,Pass
undersampling,select_univariate,min_max_norm,umap,k_neighbours,0.4248163265306123,0.4248163265306123,0.42481632653061235,Pass
undersampling,select_univariate,robust_scaler,no_dim_reduction,k_neighbours,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_univariate,robust_scaler,pca,k_neighbours,0.4146122448979592,0.4146122448979592,0.4146122448979592,Pass
undersampling,select_univariate,robust_scaler,umap,k_neighbours,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_univariate,standard_scaler,no_dim_reduction,k_neighbours,0.43093877551020404,0.43093877551020404,0.43093877551020404,Pass
undersampling,select_univariate,standard_scaler,pca,k_neighbours,0.42889795918367346,0.42889795918367346,0.4288979591836735,Pass
undersampling,select_univariate,standard_scaler,umap,k_neighbours,0.42685714285714277,0.42685714285714277,0.42685714285714277,Pass
undersampling,select_univariate,log2_transform,no_dim_reduction,k_neighbours,0.43093877551020404,0.43093877551020404,0.43093877551020404,Pass
undersampling,select_univariate,log2_transform,pca,k_neighbours,0.42889795918367346,0.42889795918367346,0.4288979591836735,Pass
undersampling,select_univariate,log2_transform,umap,k_neighbours,0.45922448979591834,0.45922448979591834,0.45922448979591834,Pass
undersampling,select_l1,no_norm,no_dim_reduction,k_neighbours,0.4248163265306122,0.4248163265306122,0.4248163265306122,Pass
undersampling,select_l1,no_norm,pca,k_neighbours,0.42889795918367346,0.42889795918367346,0.4288979591836735,Pass
undersampling,select_l1,no_norm,umap,k_neighbours,0.43093877551020404,0.43093877551020404,0.43093877551020404,Pass
undersampling,select_l1,min_max_norm,no_dim_reduction,k_neighbours,0.44302040816326527,0.44302040816326527,0.4430204081632652,Pass
undersampling,select_l1,min_max_norm,pca,k_neighbours,0.4349795918367347,0.4349795918367347,0.4349795918367347,Pass
undersampling,select_l1,min_max_norm,umap,k_neighbours,0.440938775510204,0.440938775510204,0.440938775510204,Pass
undersampling,select_l1,robust_scaler,no_dim_reduction,k_neighbours,0.4595102040816325,0.4595102040816325,0.4595102040816325,Pass
