sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
no_sampling,var_threshold,no_norm,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,no_norm,pca,k_neighbours,0.23287708682656558,0.33492063492063495,0.2747293227539468,Pass
no_sampling,var_threshold,no_norm,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,min_max_norm,no_dim_reduction,k_neighbours,0.23287708682656558,0.33492063492063495,0.2747293227539468,Pass
no_sampling,var_threshold,min_max_norm,pca,k_neighbours,0.23287708682656558,0.33492063492063495,0.2747293227539468,Pass
no_sampling,var_threshold,min_max_norm,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,robust_scaler,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,robust_scaler,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,robust_scaler,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,standard_scaler,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,standard_scaler,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,standard_scaler,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,var_threshold,log2_transform,no_dim_reduction,k_neighbours,0.23272034701465336,0.3342796092796093,0.2744044891287431,Pass
no_sampling,var_threshold,log2_transform,pca,k_neighbours,0.23272034701465336,0.3342796092796093,0.2744044891287431,Pass
no_sampling,var_threshold,log2_transform,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,no_norm,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,no_norm,pca,k_neighbours,0.283034093470199,0.33760683760683763,0.30792118420411224,Pass
no_sampling,select_univariate,no_norm,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,min_max_norm,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,min_max_norm,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,min_max_norm,umap,k_neighbours,0.19954375349323222,0.33333333333333337,0.2496432522323575,Pass
no_sampling,select_univariate,robust_scaler,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,robust_scaler,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,robust_scaler,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,standard_scaler,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,standard_scaler,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,standard_scaler,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,log2_transform,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_univariate,log2_transform,pca,k_neighbours,0.23310348877710546,0.33492063492063495,0.27488680570541,Pass
no_sampling,select_univariate,log2_transform,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,no_norm,no_dim_reduction,k_neighbours,0.23272115703952112,0.3342796092796093,0.274405052223454,Pass
no_sampling,select_l1,no_norm,pca,k_neighbours,0.23287708682656558,0.33492063492063495,0.2747293227539468,Pass
no_sampling,select_l1,no_norm,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,min_max_norm,no_dim_reduction,k_neighbours,0.23287708682656558,0.33492063492063495,0.2747293227539468,Pass
no_sampling,select_l1,min_max_norm,pca,k_neighbours,0.39105476894978836,0.35601227912548666,0.37271165932264977,Pass
no_sampling,select_l1,min_max_norm,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,robust_scaler,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,robust_scaler,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,robust_scaler,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,standard_scaler,no_dim_reduction,k_neighbours,0.2331078426607697,0.33492063492063495,0.27488983299340236,Pass
no_sampling,select_l1,standard_scaler,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,standard_scaler,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,log2_transform,no_dim_reduction,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,log2_transform,pca,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
no_sampling,select_l1,log2_transform,umap,k_neighbours,0.19931208638105188,0.33333333333333337,0.249461873389026,Pass
oversampling,var_threshold,no_norm,no_dim_reduction,k_neighbours,0.7363467651363683,0.6942186744073536,0.7146624139894711,Pass
oversampling,var_threshold,no_norm,pca,k_neighbours,0.702742949056048,0.6866473149492018,0.6946019006607862,Pass
oversampling,var_threshold,no_norm,umap,k_neighbours,0.5956767825826036,0.6061078858248669,0.6008470648981303,Pass
oversampling,var_threshold,min_max_norm,no_dim_reduction,k_neighbours,0.6925463128810126,0.6547048863086599,0.6730941569188558,Pass
oversampling,var_threshold,min_max_norm,pca,k_neighbours,0.7731757578127096,0.7357885824866957,0.7540190045063778,Pass
oversampling,var_threshold,min_max_norm,umap,k_neighbours,0.5796035803737258,0.5888364779874214,0.5841835504593353,Pass
oversampling,var_threshold,robust_scaler,no_dim_reduction,k_neighbours,0.747718037577396,0.6649250120948235,0.703895333354069,Pass
oversampling,var_threshold,robust_scaler,pca,k_neighbours,0.4142806902131325,0.41296565070149976,0.4136221252251818,Pass
oversampling,var_threshold,robust_scaler,umap,k_neighbours,0.5758569164436087,0.5748427672955975,0.5753493949682488,Pass
oversampling,var_threshold,standard_scaler,no_dim_reduction,k_neighbours,0.6856272360688752,0.6508708272859216,0.6677971013736405,Pass
oversampling,var_threshold,standard_scaler,pca,k_neighbours,0.7628262745738765,0.7384494436381229,0.7504399507940016,Pass
oversampling,var_threshold,standard_scaler,umap,k_neighbours,0.6262270657855932,0.6342162554426706,0.6301963412878672,Pass
oversampling,select_univariate,no_norm,no_dim_reduction,k_neighbours,0.5898478497331977,0.5849298500241896,0.5873785557093615,Pass
oversampling,select_univariate,no_norm,pca,k_neighbours,0.4613463786171904,0.45224963715529753,0.4567527194306269,Pass
oversampling,select_univariate,no_norm,umap,k_neighbours,0.5068292891208399,0.5063497822931785,0.5065894222390132,Pass
oversampling,select_univariate,min_max_norm,no_dim_reduction,k_neighbours,0.6045262350008997,0.5945452346395743,0.5994941941903683,Pass
oversampling,select_univariate,min_max_norm,pca,k_neighbours,0.4906050969724,0.4891872278664732,0.48989513651182814,Pass
oversampling,select_univariate,min_max_norm,umap,k_neighbours,0.5429488580911769,0.5435897435897435,0.543269111830046,Pass
oversampling,select_univariate,robust_scaler,no_dim_reduction,k_neighbours,0.5986158428401519,0.5952467343976777,0.596926534767042,Pass
oversampling,select_univariate,robust_scaler,pca,k_neighbours,0.41750960150706734,0.41432027092404455,0.41590882208699137,Pass
oversampling,select_univariate,robust_scaler,umap,k_neighbours,0.5125745259797954,0.5108490566037736,0.5117103367403073,Pass
oversampling,select_univariate,standard_scaler,no_dim_reduction,k_neighbours,0.6215551101238825,0.6111877116594099,0.6163278158493463,Pass
oversampling,select_univariate,standard_scaler,pca,k_neighbours,0.5306674315944291,0.5280720851475569,0.5293665773132007,Pass
oversampling,select_univariate,standard_scaler,umap,k_neighbours,0.5370837780063227,0.5389332365747459,0.5380069178653905,Pass
oversampling,select_univariate,log2_transform,no_dim_reduction,k_neighbours,0.6729438741426162,0.6566037735849057,0.6646734141918351,Pass
oversampling,select_univariate,log2_transform,pca,k_neighbours,0.6028457824787624,0.5901064344460571,0.5964080877210943,Pass
oversampling,select_univariate,log2_transform,umap,k_neighbours,0.5724436798939182,0.5677431059506531,0.57008370354697,Pass
oversampling,select_l1,no_norm,no_dim_reduction,k_neighbours,0.7392369710415232,0.6999879051765845,0.7190772579587085,Pass
oversampling,select_l1,no_norm,pca,k_neighbours,0.6919405799313068,0.6789912917271408,0.6854047788642202,Pass
oversampling,select_l1,no_norm,umap,k_neighbours,0.6077889086889737,0.6201983551040154,0.6139309299594028,Pass
oversampling,select_l1,min_max_norm,no_dim_reduction,k_neighbours,0.726154791560539,0.6713231736816643,0.6976632925587205,Pass
oversampling,select_l1,min_max_norm,pca,k_neighbours,0.7276136041613098,0.6930454765360425,0.7099089765893081,Pass
oversampling,select_l1,min_max_norm,umap,k_neighbours,0.6176698161680401,0.6270440251572327,0.6223216210655501,Pass
oversampling,select_l1,robust_scaler,no_dim_reduction,k_neighbours,0.704914095980859,0.6649250120948234,0.6843358625588137,Pass
oversampling,select_l1,robust_scaler,pca,k_neighbours,0.5360972283031049,0.530817610062893,0.5334443561119083,Pass
oversampling,select_l1,robust_scaler,umap,k_neighbours,0.5605905938093271,0.5614296081277212,0.5610097872731802,Pass
oversampling,select_l1,standard_scaler,no_dim_reduction,k_neighbours,0.724992905433573,0.6726294146105467,0.6978302315080223,Pass
oversampling,select_l1,standard_scaler,pca,k_neighbours,0.7528473862149266,0.7166666666666667,0.7343116259818957,Pass
oversampling,select_l1,standard_scaler,umap,k_neighbours,0.5999903002795886,0.6117682631833576,0.6058220424371346,Pass
oversampling,select_l1,log2_transform,no_dim_reduction,k_neighbours,0.7660083134858324,0.726318335752298,0.7456355265216136,Pass
oversampling,select_l1,log2_transform,pca,k_neighbours,0.7723781749982483,0.7524189646831155,0.7622679393239934,Pass
oversampling,select_l1,log2_transform,umap,k_neighbours,0.6218417172306849,0.6310595065312047,0.6264167035256901,Pass
sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
