sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
no_sampling,no_selection,no_norm,no_dim_reduction,bayesian,0.34118402712767065,0.3374791985809318,0.31049741185242546,Pass
no_sampling,no_selection,no_norm,pca,bayesian,0.4073510630305763,0.3833900229149698,0.25594540835385615,Pass
no_sampling,no_selection,no_norm,umap,bayesian,0.20061022120518687,0.3333333333333333,0.25047619047619046,Pass
no_sampling,no_selection,min_max_norm,no_dim_reduction,bayesian,0.25555555555555554,0.33014085180668146,0.2541486291486292,Pass
no_sampling,no_selection,min_max_norm,pca,bayesian,0.3789594059952357,0.3778008943731019,0.3405475060213728,Pass
no_sampling,no_selection,min_max_norm,umap,bayesian,0.20061022120518687,0.3333333333333333,0.25047619047619046,Pass
no_sampling,no_selection,robust_scaler,no_dim_reduction,bayesian,0.35122114676142124,0.3588946375594502,0.3469749308672197,Pass
no_sampling,no_selection,robust_scaler,pca,bayesian,0.3025722619994697,0.3288491592920976,0.14916687887276123,Pass
no_sampling,no_selection,robust_scaler,umap,bayesian,0.20061022120518687,0.3333333333333333,0.25047619047619046,Pass
no_sampling,no_selection,standard_scaler,no_dim_reduction,bayesian,0.31220657276995306,0.3351627328598417,0.2660608737721125,Pass
no_sampling,no_selection,standard_scaler,pca,bayesian,0.3734145801626895,0.38258293488856915,0.3399778014951187,Pass
no_sampling,no_selection,standard_scaler,umap,bayesian,0.20061022120518687,0.3333333333333333,0.25047619047619046,Pass
no_sampling,no_selection,log2_transform,no_dim_reduction,bayesian,0.28317901234567905,0.33140827892962194,0.25450185306300416,Pass
no_sampling,no_selection,log2_transform,pca,bayesian,0.3528443813385009,0.3549654024749293,0.32620013737765313,Pass
no_sampling,no_selection,log2_transform,umap,bayesian,0.3145009416195857,0.3445488676853911,0.28954635108481264,Pass
no_sampling,var_threshold,no_norm,no_dim_reduction,bayesian,0.3420634920634921,0.3461247114528428,0.3269108822651088,Pass
no_sampling,var_threshold,no_norm,pca,bayesian,0.4073510630305763,0.3833900229149698,0.25594540835385615,Pass
no_sampling,var_threshold,no_norm,umap,bayesian,0.20061022120518687,0.3333333333333333,0.25047619047619046,Pass
no_sampling,var_threshold,min_max_norm,no_dim_reduction,bayesian,0.34142281630000926,0.3419753294818178,0.3397946461930587,Pass
no_sampling,var_threshold,min_max_norm,pca,bayesian,0.34895419573435854,0.3645882127870877,0.31866208199057416,Pass
no_sampling,var_threshold,min_max_norm,umap,bayesian,0.20061022120518687,0.3333333333333333,0.25047619047619046,Pass
no_sampling,var_threshold,robust_scaler,no_dim_reduction,bayesian,0.3272219280986359,0.3287397891935309,0.31726089417091113,Pass
no_sampling,var_threshold,robust_scaler,pca,bayesian,0.3025722619994697,0.3288491592920976,0.14916687887276123,Pass
