sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
no_sampling,no_selection,no_norm,no_dim_reduction,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,no_selection,no_norm,pca,nn,0.5692398119122257,0.5692398119122257,0.5692398119122257,Pass
no_sampling,no_selection,no_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score,status
no_sampling,no_selection,no_norm,pca,nn,0.5692398119122257,0.5692398119122257,0.5692398119122257,Pass
no_sampling,no_selection,no_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,no_selection,min_max_norm,pca,nn,0.4638322884012539,0.4638322884012539,0.4638322884012539,Pass
no_sampling,no_selection,min_max_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,no_selection,robust_scaler,pca,nn,0.5864681295715778,0.5864681295715778,0.5864681295715778,Pass
no_sampling,no_selection,robust_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,no_selection,standard_scaler,pca,nn,0.44894200626959246,0.44894200626959246,0.44894200626959246,Pass
no_sampling,no_selection,standard_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,no_selection,log2_transform,pca,nn,0.45464994775339607,0.45464994775339607,0.45464994775339607,Pass
no_sampling,no_selection,log2_transform,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,no_norm,pca,nn,0.5566614420062695,0.5566614420062695,0.5566614420062695,Pass
no_sampling,var_threshold,no_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,min_max_norm,pca,nn,0.5131661442006269,0.5131661442006269,0.5131661442006269,Pass
no_sampling,var_threshold,min_max_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,robust_scaler,pca,nn,0.5876044932079415,0.5876044932079415,0.5876044932079415,Pass
no_sampling,var_threshold,robust_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,standard_scaler,pca,nn,0.42718129571577845,0.42718129571577845,0.42718129571577845,Pass
no_sampling,var_threshold,standard_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,var_threshold,log2_transform,pca,nn,0.4798328108672936,0.4798328108672936,0.4798328108672936,Pass
no_sampling,var_threshold,log2_transform,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,no_norm,pca,nn,0.5933385579937305,0.5933385579937305,0.5933385579937305,Pass
no_sampling,select_univariate,no_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,min_max_norm,pca,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,min_max_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,robust_scaler,pca,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,robust_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,standard_scaler,pca,nn,0.5990987460815047,0.5990987460815047,0.5990987460815047,Pass
no_sampling,select_univariate,standard_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_univariate,log2_transform,pca,nn,0.5945141065830721,0.5945141065830721,0.5945141065830721,Pass
no_sampling,select_univariate,log2_transform,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,no_norm,pca,nn,0.5726619644723093,0.5726619644723093,0.5726619644723093,Pass
no_sampling,select_l1,no_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,min_max_norm,pca,nn,0.5749346917450366,0.5749346917450366,0.5749346917450366,Pass
no_sampling,select_l1,min_max_norm,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,robust_scaler,pca,nn,0.5876175548589341,0.5876175548589341,0.5876175548589341,Pass
no_sampling,select_l1,robust_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,standard_scaler,pca,nn,0.5762147335423198,0.5762147335423198,0.5762147335423198,Pass
no_sampling,select_l1,standard_scaler,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
no_sampling,select_l1,log2_transform,pca,nn,0.5338296760710552,0.5338296760710552,0.5338296760710552,Pass
no_sampling,select_l1,log2_transform,umap,nn,0.5979362591431556,0.5979362591431556,0.5979362591431556,Pass
oversampling,no_selection,no_norm,pca,nn,0.512853176547444,0.512853176547444,0.512853176547444,Pass
oversampling,no_selection,no_norm,umap,nn,0.3678507267679242,0.3678507267679242,0.36785072676792424,Pass
oversampling,no_selection,min_max_norm,pca,nn,0.8972684958353747,0.8972684958353747,0.8972684958353747,Pass
oversampling,no_selection,min_max_norm,umap,nn,0.454078882900539,0.454078882900539,0.454078882900539,Pass
oversampling,no_selection,robust_scaler,pca,nn,0.35569573738363547,0.35569573738363547,0.3556957373836354,Pass
oversampling,no_selection,robust_scaler,umap,nn,0.4169688061407807,0.4169688061407807,0.4169688061407807,Pass
oversampling,no_selection,standard_scaler,pca,nn,0.8646986771190595,0.8646986771190595,0.8646986771190593,Pass
oversampling,no_selection,standard_scaler,umap,nn,0.41956965539768093,0.41956965539768093,0.41956965539768093,Pass
oversampling,no_selection,log2_transform,pca,nn,0.8462355054711743,0.8462355054711743,0.8462355054711743,Pass
oversampling,no_selection,log2_transform,umap,nn,0.44963661603788996,0.44963661603788996,0.44963661603788996,Pass
oversampling,var_threshold,no_norm,pca,nn,0.5237301976155478,0.5237301976155478,0.5237301976155478,Pass
oversampling,var_threshold,no_norm,umap,nn,0.3697288910664707,0.3697288910664707,0.3697288910664707,Pass
oversampling,var_threshold,min_max_norm,pca,nn,0.8736485382982199,0.8736485382982199,0.8736485382982199,Pass
oversampling,var_threshold,min_max_norm,umap,nn,0.37806630736567043,0.37806630736567043,0.3780663073656704,Pass
