sampling,feature_selection,normalization,dim_red,classification,precision_score,recall_score,f1_score
no_sampling,var_threshold,no_norm,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,no_norm,pca,k_neighbours,0.232877086826566,0.334920634920635,0.274729322753947
no_sampling,var_threshold,no_norm,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,min_max_norm,no_dim_reduction,k_neighbours,0.232877086826566,0.334920634920635,0.274729322753947
no_sampling,var_threshold,min_max_norm,pca,k_neighbours,0.232877086826566,0.334920634920635,0.274729322753947
no_sampling,var_threshold,min_max_norm,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,robust_scaler,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,robust_scaler,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,robust_scaler,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,standard_scaler,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,standard_scaler,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,standard_scaler,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,var_threshold,log2_transform,no_dim_reduction,k_neighbours,0.232720347014653,0.334279609279609,0.274404489128743
no_sampling,var_threshold,log2_transform,pca,k_neighbours,0.232720347014653,0.334279609279609,0.274404489128743
no_sampling,var_threshold,log2_transform,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,no_norm,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,no_norm,pca,k_neighbours,0.283034093470199,0.337606837606838,0.307921184204112
no_sampling,select_univariate,no_norm,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,min_max_norm,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,min_max_norm,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,min_max_norm,umap,k_neighbours,0.199543753493232,0.333333333333333,0.249643252232357
no_sampling,select_univariate,robust_scaler,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,robust_scaler,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,robust_scaler,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,standard_scaler,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,standard_scaler,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,standard_scaler,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,log2_transform,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_univariate,log2_transform,pca,k_neighbours,0.233103488777105,0.334920634920635,0.27488680570541
no_sampling,select_univariate,log2_transform,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,no_norm,no_dim_reduction,k_neighbours,0.232721157039521,0.334279609279609,0.274405052223454
no_sampling,select_l1,no_norm,pca,k_neighbours,0.232877086826566,0.334920634920635,0.274729322753947
no_sampling,select_l1,no_norm,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,min_max_norm,no_dim_reduction,k_neighbours,0.232877086826566,0.334920634920635,0.274729322753947
no_sampling,select_l1,min_max_norm,pca,k_neighbours,0.391054768949788,0.356012279125487,0.37271165932265
no_sampling,select_l1,min_max_norm,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,robust_scaler,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,robust_scaler,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,robust_scaler,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,standard_scaler,no_dim_reduction,k_neighbours,0.23310784266077,0.334920634920635,0.274889832993402
no_sampling,select_l1,standard_scaler,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,standard_scaler,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,log2_transform,no_dim_reduction,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,log2_transform,pca,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
no_sampling,select_l1,log2_transform,umap,k_neighbours,0.199312086381052,0.333333333333333,0.249461873389026
oversampling,var_threshold,no_norm,no_dim_reduction,k_neighbours,0.736346765136368,0.694218674407354,0.714662413989471
